#"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0029091,0,0,0,0.005,0,0.005
4.2993e-06,0,0,0,0,0,0.005
-6.2697e-05,-0.00032363,0.00033412,0,0.005,0.005,0.005
0.0028938,0,0,0,0,0.005,0.005
-0.0093914,0,0,0,0.01,0,0.005
-0.0062001,-0.0020852,0.0014846,0,0.01,0.005,0.005
-0.015686,0,0,0,0.015,0,0.005
-0.011679,-0.0055178,0.0025256,0,0.015,0.005,0.005
-0.019421,0,0,0,0.02,0,0.005
-0.014745,-0.010118,0.0031774,0,0.02,0.005,0.005
-0.019333,0,0,0,0.025,0,0.005
-0.014424,-0.015286,0.0034029,0,0.025,0.005,0.005
-0.015004,0,0,0,0.03,0,0.005
-0.010352,-0.020437,0.0032381,0,0.03,0.005,0.005
-0.0066269,0,0,0,0.035,0,0.005
-0.0026865,-0.025048,0.0027458,0,0.035,0.005,0.005
0.0051786,0,0,0,0.04,0,0.005
0.0080344,-0.028688,0.0019989,0,0.04,0.005,0.005
0.019495,0,0,0,0.045,0,0.005
0.021002,-0.031037,0.0010735,0,0.045,0.005,0.005
0.035198,0,0,0,0.05,0,0.005
0.035215,-0.031886,4.824e-05,0,0.05,0.005,0.005
0.051035,0,0,0,0.055,0,0.005
0.049552,-0.031152,-0.00099356,0,0.055,0.005,0.005
0.065702,0,0,0,0.06,0,0.005
0.062845,-0.028876,-0.0019625,0,0.06,0.005,0.005
0.077945,0,0,0,0.065,0,0.005
0.073973,-0.025241,-0.0027635,0,0.065,0.005,0.005
0.086682,0,0,0,0.07,0,0.005
0.081975,-0.020568,-0.0032995,0,0.07,0.005,0.005
0.091161,0,0,0,0.075,0,0.005
0.086191,-0.015313,-0.0034794,0,0.075,0.005,0.005
0.091148,0,0,0,0.08,0,0.005
0.086423,-0.010045,-0.0032331,0,0.08,0.005,0.005
0.087137,0,0,0,0.085,0,0.005
0.083102,-0.0053921,-0.0025348,0,0.085,0.005,0.005
0.080564,0,0,0,0.09,0,0.005
0.077365,-0.0019742,-0.0014489,0,0.09,0.005,0.005
0.073976,0,0,0,0.095,0,0.005
0.071137,-0.00026785,-0.00028992,0,0.095,0.005,0.005
0.068194,0,0,0,0.1,0.005,0.005
0.071069,0,0,0,0.1,0,0.005
0.0059852,-0.0014824,0.002076,0,0.005,0.01,0.005
0.0095604,0,0,0,0,0.01,0.005
-0.00049366,-0.0054016,0.005306,0,0.01,0.01,0.005
-0.0051891,-0.011999,0.0080716,0,0.015,0.01,0.005
-0.0074573,-0.020343,0.0097836,0,0.02,0.01,0.005
-0.0068902,-0.029472,0.010323,0,0.025,0.01,0.005
-0.0032642,-0.038456,0.0097572,0,0.03,0.01,0.005
0.0032853,-0.046443,0.0082446,0,0.035,0.01,0.005
0.012328,-0.052725,0.005985,0,0.04,0.01,0.005
0.023218,-0.056765,0.003199,0,0.045,0.01,0.005
0.035146,-0.058219,0.00012148,0,0.05,0.01,0.005
0.047194,-0.056948,-0.0029983,0,0.055,0.01,0.005
0.058404,-0.053029,-0.0058955,0,0.06,0.01,0.005
0.067852,-0.046764,-0.0082941,0,0.065,0.01,0.005
0.074745,-0.038688,-0.0099197,0,0.07,0.01,0.005
0.078532,-0.029547,-0.010526,0,0.075,0.01,0.005
0.07903,-0.020257,-0.0099359,0,0.08,0.01,0.005
0.076517,-0.011819,-0.0081053,0,0.085,0.01,0.005
0.071557,-0.0052299,-0.0052199,0,0.09,0.01,0.005
0.064985,-0.0013903,-0.001958,0,0.095,0.01,0.005
0.061429,0,0,0,0.1,0.01,0.005
0.011803,-0.0027151,0.0056325,0,0.005,0.015,0.005
0.01674,0,0,0,0,0.015,0.005
0.0034922,-0.008824,0.012027,0,0.01,0.015,0.005
-0.0017132,-0.018451,0.017189,0,0.015,0.015,0.005
-0.0040197,-0.030167,0.020289,0,0.02,0.015,0.005
-0.0035342,-0.042691,0.021131,0,0.025,0.015,0.005
-0.00020212,-0.054847,0.019837,0,0.03,0.015,0.005
0.0057881,-0.065565,0.016695,0,0.035,0.015,0.005
0.014025,-0.073952,0.012088,0,0.04,0.015,0.005
0.023933,-0.079336,0.0064457,0,0.045,0.015,0.005
0.034802,-0.081282,0.00023229,0,0.05,0.015,0.005
